duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,history__ShADacdtfF,history__ShAdDaf,history__ShADadtctfFR,history__ShADadttfF,history__ShADadttcfF,history__ShAdDatf,history__ShADadtcfF,history__ShAdDaft,history__ShADadtctfF,history__DdAtaFf,history__ShADad,history__Dd,history__ShADadf,history__CCCC,history__ShDadAf,history__C,history__S,history__D,history__ShAD,history__ShAdD,history__CCC,history__ShAfdtDr,history__ShAdDfr,history__ShAdDatfr,history__ShAdfDr,tunnel_parents__-,local_orig,local_resp,id.orig_h,id.resp_h,proto,service,conn_state
3.139211,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
1.477656,149.0,128252.0,2896,94,5525,96,139044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,http,SF
3.147116,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
1.305004,151.0,128348.0,5792,96,5699,92,133140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,http,SF
1.004605,148.0,91961.0,2896,67,4148,65,92453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,http,SF
4.129647,148.0,99303.0,5792,75,4412,69,97107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,http,SF
3.114215,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.001496,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.001495,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
3.158705,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,False,192.168.1.195,195.113.144.201,udp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.001495,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
0.0,0.0,0.0,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,False,192.168.1.195,82.113.53.40,udp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.014232,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
2.299441,151.0,164266.0,5792,114,6607,117,168910,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,http,SF
3.107733,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.136227,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.001748,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,False,192.168.1.195,81.2.248.189,udp,-,S0
0.11543,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
0.0,0.0,0.0,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,False,192.168.1.195,89.221.210.188,udp,-,S0
3.158698,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,False,192.168.1.195,81.2.248.189,udp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.068707,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
502.919185,952.0,17192.0,0,200,11444,184,28048,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.1,192.168.1.195,tcp,-,SF
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.005231,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,81.2.248.189,udp,-,SF
0.010235,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
3.118724,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
1.22805,151.0,124067.0,2896,93,5571,92,131755,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,http,SF
3.093744,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.097488,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.124484,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.001496,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.122724,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.120734,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.118725,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.116726,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.115707,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.113737,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
3.111728,0.0,0.0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.0,0.0,0.0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,185.244.25.235,tcp,-,S0
0.001498,48.0,48.0,0,1,76,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,192.168.1.195,147.231.100.5,udp,-,SF
